"STUDYID","TREATMENT_GROUP","patient_n","baseline_mean","baseline_std","endpoint_mean","endpoint_std"
"11984A","duloxetine",157,3.53503184713376,0.851308663932742,1.4203821656051,1.16094230369145
"11984A","placebo",152,3.50657894736842,0.883975895856055,1.96710526315789,1.39259043558995
"11984A","vortioxetine",467,3.53104925053533,0.810737736772312,1.59743040685225,1.25016472432938
"12541A","duloxetine",160,3.40625,0.746453880843562,1.3375,1.28800709010119
"12541A","placebo",153,3.37254901960784,0.759868002224698,2.13725490196078,1.41448718403811
"12541A","vortioxetine",172,3.43604651162791,0.742591131422462,1.5,1.30898827053479
"13267A","duloxetine",161,3.54037267080745,0.758236348540775,1.1304347826087,1.14089019400756
"13267A","placebo",178,3.55056179775281,0.766697164046667,2.20786516853933,1.36400247850903
"13267A","vortioxetine",375,3.60266666666667,0.780438196762647,1.61333333333333,1.25059700538392
"14122A","placebo",209,3.46411483253589,0.814474999746236,2.25837320574163,1.3481608677871
"14122A","vortioxetine",419,3.5727923627685,0.73940657852266,1.73031026252983,1.30193549299064
"29060/001","paroxetine",25,3.72,0.458257569495584,1.28,0.890692614392492
"29060/001","placebo",25,3.68,0.627162924074226,2.12,1.23558353285671
"29060/002","paroxetine",170,3.14117647058824,0.956484455206962,1.70588235294118,1.33521737176546
"29060/002","placebo",171,3.25146198830409,0.881800079059287,2.30994152046784,1.39024563935173
"29060/003","paroxetine",241,3.65560165975104,0.775711871335335,1.87551867219917,1.30426473566204
"29060/003","placebo",244,3.69672131147541,0.835324478117027,2.63524590163934,1.38263314906025
"29060/007","amitriptyline",13,3.53846153846154,0.967417922046845,2.15384615384615,1.5191090506255
"29060/007","paroxetine",13,3.69230769230769,0.85485041426511,1.46153846153846,1.45002210416397
"29060/007","placebo",12,3.58333333333333,0.792961461098759,2.25,1.21543108701099
"29060/009","paroxetine",316,3.17721518987342,1.05119123562926,1.0126582278481,1.06002301126357
"29060/009","placebo",53,3,1.01904933073014,1.22641509433962,1.03108437008293
"29060/785","citalopram",207,3.60869565217391,0.834057656228299,1.60386473429952,1.26475161269261
"29060/785","paroxetine",199,3.67336683417085,0.796991959140666,1.53266331658291,1.32866168034577
"29060/785","placebo",105,3.58095238095238,0.852382998749257,1.96190476190476,1.44064495121382
"89303","citalopram",134,3.50746268656716,1.06725893481178,1.67910447761194,1.30701258554644
"89303","placebo",66,3.5,1.33877096334948,1.43939393939394,1.3024094579933
"89306","citalopram",185,3.26486486486486,1.17033445057576,1.4,1.25195499294017
"89306","placebo",88,3.26136363636364,0.976674138080773,1.22727272727273,1.34529638427616
"91206","citalopram",521,3.29174664107486,1.02249178156996,1.66602687140115,1.34156099923229
"91206","placebo",129,3.32558139534884,1.04704040258777,1.65116279069767,1.48245553680529
"99001","escitalopram",188,3.24468085106383,0.897842574159637,1.45212765957447,1.22925382552714
"99001","placebo",189,3.1957671957672,0.89845201909745,1.62962962962963,1.1985675716447
"99003","citalopram",159,3.15094339622642,0.835817489959722,1.48427672955975,1.1242738636135
"99003","escitalopram",155,3.16129032258065,0.793511601628311,1.38709677419355,1.11301099033204
"99003","placebo",154,3.14935064935065,0.853921882916557,1.70779220779221,1.30822098768466
"AK1113351","bupropion",382,3.71465968586387,1.11762062800142,1.8979057591623,1.42071137093158
"AK1113351","placebo",187,3.63101604278075,1.09136421227163,1.86096256684492,1.43756257785805
"AK130939","bupropion",204,3.44607843137255,0.94792192406009,1.36764705882353,1.31573739011438
"AK130939","placebo",189,3.41798941798942,0.989247607869061,1.61375661375661,1.30629456618312
"AK130939","venlafaxine",198,3.17171717171717,0.99276984251701,1.05050505050505,1.14770782264793
"Angelini_Trz_Pbo","placebo",204,3.83823529411765,0.679255477325912,2.17647058823529,1.59377956276807
"Angelini_Trz_Pbo","trazodone",202,3.81188118811881,0.768960936027891,2.01485148514851,1.59750340907702
"B1Y-MC-HCFP","fluoxetine",46,2.82608695652174,1.08124101180258,0.978260869565217,1.23808329346046
"B1Y-MC-HCFP","placebo",43,3.06976744186047,0.88358977869256,1.32558139534884,1.37530828115628
"Ban_1998","desipramine",82,1.9390243902439,0.425935744751519,1.23170731707317,0.893028976453343
"Ban_1998","placebo",81,1.8641975308642,0.440258061247977,1.19753086419753,0.99272041741897
"Ban_1998","reboxetine",80,1.8625,0.413192265296999,0.8,0.933212770995643
"F1J-MC-HMAQa","duloxetine",70,3.15714285714286,1.21148745901641,1.41428571428571,1.53691632864064
"F1J-MC-HMAQa","fluoxetine",33,2.96969696969697,1.40278402838891,1.45454545454545,1.32502144064986
"F1J-MC-HMAQa","placebo",70,3.21428571428571,1.20256799070021,2.01428571428571,1.45952997340624
"F1J-MC-HMAQb","duloxetine",82,2.91463414634146,1.13530568584021,1.45121951219512,1.47533163482012
"F1J-MC-HMAQb","fluoxetine",37,3.02702702702703,1.16634487196556,1.40540540540541,1.4992490612796
"F1J-MC-HMAQb","placebo",75,2.96,1.13232599641718,1.53333333333333,1.38849844361739
"F1J-MC-HMATa","duloxetine",175,2.44,1.44460948069855,1.25142857142857,1.39155321897797
"F1J-MC-HMATa","paroxetine",89,2.7752808988764,1.55031381712311,1.31460674157303,1.51953570673576
"F1J-MC-HMATa","placebo",90,2.63333333333333,1.31071641787607,1.57777777777778,1.42984070596848
"F1J-MC-HMATb","duloxetine",177,2.67231638418079,1.2177530311138,1.35028248587571,1.31053963095123
"F1J-MC-HMATb","paroxetine",87,2.7816091954023,1.23349840316562,1.39080459770115,1.46554475814222
"F1J-MC-HMATb","placebo",89,2.76404494382022,1.02272443536095,1.60674157303371,1.4111405568167
"F1J-MC-HMAYa","duloxetine",188,2.46276595744681,0.885834334960739,0.872340425531915,0.898412653102923
"F1J-MC-HMAYa","paroxetine",86,2.37209302325581,0.982751379341597,0.825581395348837,0.769902369136981
"F1J-MC-HMAYa","placebo",93,2.13978494623656,0.939373031537321,1.2258064516129,1.0439164577817
"F1J-MC-HMAYb","duloxetine",196,2.51530612244898,1.1479169129958,0.857142857142857,0.950033737592567
"F1J-MC-HMAYb","paroxetine",97,2.58762886597938,0.943757751839992,0.845360824742268,0.971898980792747
"F1J-MC-HMAYb","placebo",99,2.39393939393939,1.1850960679063,1.02020202020202,0.979168722612613
"F1J-US-HMGR","duloxetine",262,3.54198473282443,0.88200000855538,1.43129770992366,1.33083582007501
"F1J-US-HMGR","placebo",266,3.43984962406015,0.958649982330621,1.93984962406015,1.47307609608225
"F1J-US-HMGU","duloxetine",261,3.63218390804598,0.941948992519915,1.6360153256705,1.3705998910341
"F1J-US-HMGU","placebo",266,3.56390977443609,0.92228905924865,2.27067669172932,1.44131920468517
"GSK_WELL_212","bupropion",302,3.42715231788079,0.881514385176827,1.47019867549669,1.33098992470492
"GSK_WELL_212","placebo",154,3.37662337662338,0.784472863916403,1.7987012987013,1.37854650237632
"LB-86141","citalopram",98,2.27551020408163,1.66702780293884,1.64285714285714,1.48705756653385
"LB-86141","placebo",51,1.94117647058824,1.44791939977172,1.27450980392157,1.31268322717324
"SERVIER-14","agomelatine",423,3.35224586288416,0.826852890447493,1.57919621749409,1.31622838911335
"SERVIER-14","paroxetine",146,3.47260273972603,0.780761833785368,1.19178082191781,1.22792265561858
"SERVIER-14","placebo",139,3.39568345323741,0.804144202908935,1.56115107913669,1.26327793030022
"SERVIER-23","agomelatine",141,3.22695035460993,0.881304182336295,1.54609929078014,1.30644106151551
"SERVIER-23","paroxetine",137,3.24087591240876,0.887209334715713,1.18978102189781,1.01845360513558
"SERVIER-23","placebo",137,3.33576642335766,0.824954296976271,1.67883211678832,1.18777044331796
"SERVIER-24","agomelatine",295,3.44406779661017,0.963318948608678,1.59322033898305,1.2819872444073
"SERVIER-24","fluoxetine",146,3.51369863013699,0.832414861504336,1.30821917808219,1.08000682305093
"SERVIER-24","placebo",158,3.4620253164557,0.981588962384327,1.58860759493671,1.24219728699372
"WXL101497","bupropion",188,3.34574468085106,0.971592759654613,1.38297872340426,1.25903267323456
"WXL101497","placebo",199,3.30653266331658,0.959538787404542,1.5929648241206,1.23097676325985
"WXL101497","venlafaxine",189,3.25396825396825,0.983398156982736,1.26984126984127,1.26162276293166
