"STUDYID","TREATMENT_GROUP","patient_n","baseline_mean","baseline_std","endpoint_mean","endpoint_std"
"11984A","duloxetine",157,3.54140127388535,0.85852023750375,1.38853503184713,1.16382262244782
"11984A","placebo",152,3.48684210526316,0.883901961130816,1.92105263157895,1.32987235253342
"11984A","vortioxetine",467,3.53104925053533,0.800080180889667,1.57173447537473,1.26384767026617
"12541A","duloxetine",160,3.40625,0.746453880843562,1.3625,1.28605241635404
"12541A","placebo",153,3.37254901960784,0.759868002224698,2.13725490196078,1.41448718403811
"12541A","vortioxetine",172,3.43604651162791,0.742591131422462,1.52325581395349,1.31768665076911
"13267A","duloxetine",161,3.54037267080745,0.758236348540775,1.09316770186335,1.13358525394004
"13267A","placebo",178,3.55056179775281,0.766697164046667,2.19662921348315,1.36980756108148
"13267A","vortioxetine",375,3.60266666666667,0.780438196762647,1.60266666666667,1.23431044783714
"14122A","placebo",209,3.46411483253589,0.814474999746236,2.26315789473684,1.35966327100732
"14122A","vortioxetine",419,3.57756563245823,0.742150497616688,1.7326968973747,1.32879595506822
"29060/001","paroxetine",25,3.72,0.458257569495584,1.52,1.00498756211209
"29060/001","placebo",25,3.68,0.627162924074226,1.64,0.99498743710662
"29060/002","paroxetine",170,3.14117647058824,0.956484455206962,1.71764705882353,1.2835948475604
"29060/002","placebo",171,3.25146198830409,0.881800079059287,2.22222222222222,1.4007467662886
"29060/003","paroxetine",241,3.65560165975104,0.775711871335335,1.9253112033195,1.35501476261908
"29060/003","placebo",244,3.69672131147541,0.835324478117027,2.61475409836066,1.43413254383105
"29060/007","amitriptyline",13,3.53846153846154,0.967417922046845,1.84615384615385,1.14354374979373
"29060/007","paroxetine",13,3.69230769230769,0.85485041426511,1.61538461538462,1.44559454541845
"29060/007","placebo",12,3.58333333333333,0.792961461098759,1.75,1.48477117918737
"29060/009","paroxetine",316,3.17721518987342,1.05119123562926,1.30696202531646,1.15638281619927
"29060/009","placebo",53,3,1.01904933073014,1.26415094339623,1.04054245091806
"29060/785","citalopram",207,3.60869565217391,0.834057656228299,1.71980676328502,1.29177531236045
"29060/785","paroxetine",199,3.67336683417085,0.796991959140666,1.73366834170854,1.36493686188116
"29060/785","placebo",105,3.58095238095238,0.852382998749257,2.03809523809524,1.23975656360285
"89303","citalopram",134,3.50746268656716,1.06725893481178,1.42537313432836,1.33982865963061
"89303","placebo",66,3.5,1.33877096334948,1.53030303030303,1.41660153422192
"89306","citalopram",185,3.26486486486486,1.17033445057576,1.2,1.26748638617164
"89306","placebo",88,3.26136363636364,0.976674138080773,1.45454545454545,1.28572257879928
"91206","citalopram",521,3.29174664107486,1.02249178156996,1.46833013435701,1.30952681355408
"91206","placebo",129,3.32558139534884,1.04704040258777,1.7984496124031,1.37147186537653
"99001","escitalopram",188,3.24468085106383,0.897842574159637,1.3936170212766,1.21679938812389
"99001","placebo",189,3.1957671957672,0.89845201909745,1.68253968253968,1.19162052397186
"99003","citalopram",159,3.15094339622642,0.835817489959722,1.49056603773585,1.12995980957038
"99003","escitalopram",155,3.16129032258065,0.793511601628311,1.41935483870968,1.15021718864921
"99003","placebo",154,3.14935064935065,0.853921882916557,1.68831168831169,1.2446984595301
"AK1113351","bupropion",382,3.71465968586387,1.11762062800142,1.94240837696335,1.47305900965097
"AK1113351","placebo",187,3.63101604278075,1.09136421227163,1.83957219251337,1.42780974790475
"AK130939","bupropion",204,3.44607843137255,0.94792192406009,1.39705882352941,1.31463575523281
"AK130939","placebo",189,3.41798941798942,0.989247607869061,1.66137566137566,1.32954968045904
"AK130939","venlafaxine",198,3.17171717171717,0.99276984251701,1.17676767676768,1.2398074422971
"Angelini_Trz_Pbo","placebo",204,3.83823529411765,0.679255477325912,2.20098039215686,1.56746446431946
"Angelini_Trz_Pbo","trazodone",202,3.81188118811881,0.768960936027891,2.04950495049505,1.59835884503068
"B1Y-MC-HCFP","fluoxetine",46,2.82608695652174,1.08124101180258,1.08695652173913,1.27934161811668
"B1Y-MC-HCFP","placebo",43,3.06976744186047,0.88358977869256,1.44186046511628,1.53223033176812
"Ban_1998","desipramine",82,1.9390243902439,0.425935744751519,0.890243902439024,0.902754325315554
"Ban_1998","placebo",81,1.8641975308642,0.440258061247977,1.4320987654321,1.10609981019954
"Ban_1998","reboxetine",80,1.8625,0.413192265296999,0.9125,1.04571155594067
"F1J-MC-HMAQa","duloxetine",70,3.15714285714286,1.21148745901641,1.41428571428571,1.43953351082164
"F1J-MC-HMAQa","fluoxetine",33,2.96969696969697,1.40278402838891,1.3030303030303,1.13150476371204
"F1J-MC-HMAQa","placebo",70,3.21428571428571,1.20256799070021,1.8,1.39979294535123
"F1J-MC-HMAQb","duloxetine",82,2.91463414634146,1.13530568584021,1.30487804878049,1.36706429978956
"F1J-MC-HMAQb","fluoxetine",37,3.02702702702703,1.16634487196556,1.37837837837838,1.58729944229799
"F1J-MC-HMAQb","placebo",75,2.96,1.13232599641718,1.74666666666667,1.49858792393565
"F1J-MC-HMATa","duloxetine",175,2.44,1.44460948069855,1.23428571428571,1.38421787060437
"F1J-MC-HMATa","paroxetine",89,2.78651685393258,1.54825348899655,1.37078651685393,1.56221013654541
"F1J-MC-HMATa","placebo",90,2.63333333333333,1.31071641787607,1.56666666666667,1.47678667261202
"F1J-MC-HMATb","duloxetine",177,2.67231638418079,1.2177530311138,1.4180790960452,1.38388071545829
"F1J-MC-HMATb","paroxetine",87,2.7816091954023,1.23349840316562,1.28735632183908,1.38855827839117
"F1J-MC-HMATb","placebo",89,2.76404494382022,1.02272443536095,1.76404494382022,1.42240570793185
"F1J-MC-HMAYa","duloxetine",188,2.46276595744681,0.885834334960739,0.893617021276596,0.918823766875366
