"STUDYID","TREATMENT_GROUP","patient_n","baseline_mean","baseline_std","endpoint_mean","endpoint_std"
"11984A","duloxetine",157,3.52229299363057,0.859233314044222,1.45859872611465,1.18478844730617
"11984A","placebo",152,3.5,0.884000539390324,1.86842105263158,1.30553691234205
"11984A","vortioxetine",467,3.53533190578158,0.799902117878085,1.5610278372591,1.27118165654813
"12541A","duloxetine",160,3.40625,0.746453880843562,1.35625,1.3047897972832
"12541A","placebo",153,3.37254901960784,0.759868002224698,2.13725490196078,1.41448718403811
"12541A","vortioxetine",172,3.43604651162791,0.742591131422462,1.51162790697674,1.30446095650767
"13267A","duloxetine",161,3.54037267080745,0.758236348540775,1.1055900621118,1.14347324231948
"13267A","placebo",178,3.55056179775281,0.766697164046667,2.18539325842697,1.37138229261452
"13267A","vortioxetine",375,3.6,0.780785289595801,1.592,1.22428195696924
"14122A","placebo",209,3.46411483253589,0.814474999746236,2.25837320574163,1.35172227548704
"14122A","vortioxetine",419,3.57517899761336,0.739167159641696,1.6945107398568,1.30043917379508
"29060/001","paroxetine",25,3.72,0.458257569495584,1.6,1.25830573921179
"29060/001","placebo",25,3.68,0.627162924074226,1.64,1.03601801786134
"29060/002","paroxetine",170,3.14117647058824,0.956484455206962,1.6,1.14819127120279
"29060/002","placebo",171,3.25146198830409,0.881800079059287,2.05263157894737,1.44410834649228
"29060/003","paroxetine",241,3.65560165975104,0.775711871335335,1.81327800829876,1.28549197840983
"29060/003","placebo",244,3.69672131147541,0.835324478117027,2.46311475409836,1.28727234638719
"29060/007","amitriptyline",13,3.53846153846154,0.967417922046845,2.15384615384615,1.34450448407296
"29060/007","paroxetine",13,3.69230769230769,0.85485041426511,1.30769230769231,1.79743406854583
"29060/007","placebo",12,3.58333333333333,0.792961461098759,1.91666666666667,1.08362466945083
"29060/009","paroxetine",316,3.17721518987342,1.05119123562926,1.31012658227848,1.18938105143531
"29060/009","placebo",53,3,1.01904933073014,1.43396226415094,1.15207895633309
"29060/785","citalopram",207,3.60869565217391,0.834057656228299,1.60386473429952,1.33568808530511
"29060/785","paroxetine",199,3.67336683417085,0.796991959140666,1.58793969849246,1.23544261744195
"29060/785","placebo",105,3.58095238095238,0.852382998749257,2.1047619047619,1.28544970822703
"89303","citalopram",134,3.50746268656716,1.06725893481178,1.65671641791045,1.33829921023641
"89303","placebo",66,3.5,1.33877096334948,1.59090909090909,1.35847508091041
"89306","citalopram",185,3.26486486486486,1.17033445057576,1.41081081081081,1.36489046060397
