"STUDYID","TREATMENT_GROUP","patient_n","baseline_mean","baseline_std","endpoint_mean","endpoint_std"
"11984A","duloxetine",157,3.51592356687898,0.874166970067176,1.32484076433121,1.15590213691406
"11984A","placebo",152,3.48026315789474,0.905980093759957,1.86842105263158,1.31059973393871
"11984A","vortioxetine",467,3.53104925053533,0.802757834808234,1.6017130620985,1.26348403587314
"12541A","duloxetine",160,3.40625,0.746453880843562,1.33125,1.29207489998444
"12541A","placebo",153,3.37254901960784,0.759868002224698,2.13725490196078,1.41448718403811
"12541A","vortioxetine",172,3.43604651162791,0.742591131422462,1.50581395348837,1.30450005221806
"13267A","duloxetine",161,3.54037267080745,0.758236348540775,1.1055900621118,1.13248887672269
"13267A","placebo",178,3.55056179775281,0.766697164046667,2.14606741573034,1.36585117020789
"13267A","vortioxetine",375,3.6,0.780785289595801,1.57866666666667,1.23391179766654
"14122A","placebo",209,3.46411483253589,0.814474999746236,2.21531100478469,1.37160595931146
"14122A","vortioxetine",419,3.56801909307876,0.749499762756083,1.72076372315036,1.29068187498427
"29060/001","paroxetine",25,3.72,0.458257569495584,1.4,0.957427107756338
"29060/001","placebo",25,3.68,0.627162924074226,1.64,0.860232526704263
"29060/002","paroxetine",170,3.14117647058824,0.956484455206962,1.54117647058824,1.30590775226708
"29060/002","placebo",171,3.25146198830409,0.881800079059287,2.10526315789474,1.29729415948077
"29060/003","paroxetine",241,3.65560165975104,0.775711871335335,1.91701244813278,1.33594574640754
"29060/003","placebo",244,3.69672131147541,0.835324478117027,2.36475409836066,1.35254201344405
"29060/007","amitriptyline",13,3.53846153846154,0.967417922046845,1.38461538461538,1.04390784542678
"29060/007","paroxetine",13,3.69230769230769,0.85485041426511,1.53846153846154,1.12660142429822
"29060/007","placebo",12,3.58333333333333,0.792961461098759,1.41666666666667,0.996204919895622
"29060/009","paroxetine",316,3.17721518987342,1.05119123562926,1.44620253164557,1.219010062901
"29060/009","placebo",53,3,1.01904933073014,1.32075471698113,1.18927231962142
"29060/785","citalopram",207,3.60869565217391,0.834057656228299,1.71497584541063,1.30752782160384
"29060/785","paroxetine",199,3.67336683417085,0.796991959140666,1.65326633165829,1.31247968119803
"29060/785","placebo",105,3.58095238095238,0.852382998749257,1.91428571428571,1.26425932796703
"89303","citalopram",134,3.50746268656716,1.06725893481178,1.40298507462687,1.32709985677444
"89303","placebo",66,3.5,1.33877096334948,1.57575757575758,1.50956546025268
"89306","citalopram",185,3.26486486486486,1.17033445057576,1.24864864864865,1.31579485433992
"89306","placebo",88,3.26136363636364,0.976674138080773,1.35227272727273,1.26890098820528
"91206","citalopram",521,3.29174664107486,1.02249178156996,1.48752399232246,1.31571047343404
"91206","placebo",129,3.32558139534884,1.04704040258777,1.78294573643411,1.36336692780959
"99001","escitalopram",188,3.24468085106383,0.897842574159637,1.45744680851064,1.22509319621061
"99001","placebo",189,3.1957671957672,0.89845201909745,1.64550264550265,1.178821709871
"99003","citalopram",159,3.15094339622642,0.835817489959722,1.49685534591195,1.18468183966044
"99003","escitalopram",155,3.16129032258065,0.793511601628311,1.4,1.12584744416482
"99003","placebo",154,3.14935064935065,0.853921882916557,1.64935064935065,1.24476665284392
"AK1113351","bupropion",382,3.71465968586387,1.11762062800142,1.92146596858639,1.45053522482957
"AK1113351","placebo",187,3.63101604278075,1.09136421227163,1.86631016042781,1.41736115932795
"AK130939","bupropion",204,3.44607843137255,0.94792192406009,1.41176470588235,1.34532901959518
"AK130939","placebo",189,3.41798941798942,0.989247607869061,1.60846560846561,1.33094602218516
"AK130939","venlafaxine",198,3.17171717171717,0.99276984251701,1.08585858585859,1.16099992794677
"Angelini_Trz_Pbo","placebo",204,3.83823529411765,0.679255477325912,2.11764705882353,1.61149881369582
"Angelini_Trz_Pbo","trazodone",202,3.81188118811881,0.768960936027891,2.01980198019802,1.629822796703
"B1Y-MC-HCFP","fluoxetine",46,2.82608695652174,1.08124101180258,1.15217391304348,1.29901486270426
"B1Y-MC-HCFP","placebo",43,3.06976744186047,0.88358977869256,1.32558139534884,1.32235234539056
"Ban_1998","desipramine",82,1.9390243902439,0.425935744751519,0.865853658536585,0.952737383295974
"Ban_1998","placebo",81,1.8641975308642,0.440258061247977,1.20987654320988,0.983819716496829
"Ban_1998","reboxetine",80,1.8625,0.413192265296999,0.6375,0.93109096212284
"F1J-MC-HMAQa","duloxetine",70,3.15714285714286,1.21148745901641,1.41428571428571,1.52745746061743
"F1J-MC-HMAQa","fluoxetine",33,2.96969696969697,1.40278402838891,1.42424242424242,1.25075734632819
"F1J-MC-HMAQa","placebo",70,3.21428571428571,1.20256799070021,1.88571428571429,1.49920613913466
"F1J-MC-HMAQb","duloxetine",82,2.91463414634146,1.13530568584021,1.36585365853659,1.3923263694481
"F1J-MC-HMAQb","fluoxetine",37,3.02702702702703,1.16634487196556,1.35135135135135,1.4760347823404
"F1J-MC-HMAQb","placebo",75,2.96,1.13232599641718,1.66666666666667,1.54511727302085
"F1J-MC-HMATa","duloxetine",175,2.44,1.44460948069855,1.16571428571429,1.35653862618614
"F1J-MC-HMATa","paroxetine",89,2.80898876404494,1.56580217964512,1.31460674157303,1.45848228725164
"F1J-MC-HMATa","placebo",90,2.63333333333333,1.31071641787607,1.61111111111111,1.52650327045395
"F1J-MC-HMATb","duloxetine",177,2.67231638418079,1.2177530311138,1.46892655367232,1.4343178138634
"F1J-MC-HMATb","paroxetine",87,2.7816091954023,1.23349840316562,1.33333333333333,1.3352699114539
